attribute	bit	cloudflare-workers-microfrontends	commercetools-frontend	edge-side-composition	entando	hyperfrontend	iframe-composition	import-map-architectures	islands-architecture	luigi	micro-app-jd	modular-monolith	module-federation	monorepo-package-composition	native-federation	nextjs-multi-zones	opencomponents	picard-js	piral	plain-spa-routing	podium	qiankun	reverse-proxy-route-composition	server-rendered-templates	server-side-fragment-composition	single-spa	web-components-composition	web-fragments	wujie	zephyr-cloud
registry.deployable-feature	c	c	n	n	y	n	-	n	-	n	n	-	n	-	n	c	y	c	y	-	n	n	n	-	-	n	-	n	n	y
governance.rollback	n	c	n	n	?	n	n	y	-	n	n	-	c	-	c	c	y	c	c	-	n	n	c	-	n	c	-	n	n	y
governance.usage-monitoring	c	n	?	n	?	n	-	n	-	n	n	-	n	-	n	n	n	n	c	-	n	n	n	-	-	n	-	n	n	c
governance.rbac	c	c	y	c	y	n	-	n	-	n	n	-	n	-	n	c	n	n	c	-	n	n	c	-	-	n	-	n	n	c
composition.kind.js-module-graph	y	n	y	n	n	n	n	y	y	n	n	y	y	y	y	n	n	c	c	y	n	n	n	n	n	c	n	n	n	-
composition.kind.lifecycle-contract	n	n	n	n	n	n	n	n	n	n	c	n	n	n	n	n	n	c	y	n	n	y	n	n	n	y	n	n	c	-
composition.kind.custom-element	n	n	n	n	y	n	n	n	c	c	y	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	y	y	y	-
composition.kind.html-fragment-endpoint	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	y	n	n	n	y	n	c	y	n	-
composition.kind.html-entry	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	y	y	-
composition.kind.http-route-partition	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	y	n	n	n	n	n	n	-
composition.kind.build-artifact	y	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	c	n	n	-
composition.kind.inherits-underlying	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	c	n	c	n	n	n	n	n	n	n	n	n	n	n	y
composition.phase.deploy-unit-per-participant	n	y	n	y	y	y	y	y	n	y	y	n	y	n	y	y	y	y	y	n	y	y	y	n	y	y	c	y	y	y
composition.exec.client-composed	n	n	n	n	y	y	y	y	n	y	y	n	y	n	y	n	c	y	y	n	n	y	n	n	c	y	y	y	y	-
buildtime.host-build-consumes-participants	y	n	y	n	n	n	n	n	y	n	n	y	n	y	n	n	n	n	n	y	n	n	n	y	n	n	n	n	n	n
buildtime.host-integrates-buildless	n	c	n	-	-	y	y	y	c	y	c	n	n	n	c	y	y	y	n	n	-	?	y	c	c	y	y	c	?	n
buildtime.participant-tooling-required	y	c	y	n	y	y	n	c	c	c	c	-	y	n	y	c	y	n	y	-	n	c	n	-	c	c	n	n	n	y
buildtime.bundler-family-restricted	n	c	y	n	n	n	n	n	c	n	n	n	y	n	c	n	c	n	n	n	n	n	n	n	n	n	n	n	n	y
buildtime.share-metadata-emitted	n	n	n	n	n	n	n	n	n	n	n	n	y	n	y	n	n	c	c	n	n	n	n	n	n	n	n	n	n	-
buildtime.shared-dep-change-rebuilds-center	y	-	y	-	-	-	-	n	y	-	-	y	c	y	n	-	-	n	y	y	-	-	-	y	-	n	-	-	-	-
buildtime.central-input-for-participant-build	y	n	y	n	n	n	n	n	-	n	n	y	n	y	n	c	n	n	y	y	n	n	n	y	n	n	n	n	n	y
buildtime.asset-prefix-coordination	n	c	n	c	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	c	n	n	n	n	y	n	n
runtime.shared-js-realm	y	-	y	y	y	n	n	y	y	c	c	y	y	y	y	-	y	y	y	y	y	y	-	-	y	y	y	n	n	-
runtime.patched-globals-layer	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	y	y	-
runtime.primordials-blast-radius	y	-	y	y	y	n	n	y	y	c	c	y	y	y	y	-	y	y	y	y	y	y	n	-	y	y	y	n	n	-
runtime.concurrent-participants	y	n	y	y	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	y	y	c	n	n	y	y	y	y	y	-
runtime.multi-router-participants	-	-	-	-	-	y	y	c	-	c	c	-	y	-	?	-	-	?	n	-	-	n	-	-	-	y	c	y	y	-
runtime.shared-runtime-library	c	n	y	n	n	y	n	c	y	y	y	n	y	n	y	n	c	y	y	n	c	y	n	n	c	y	n	y	y	-
runtime.central-routing-map	-	y	y	y	y	n	n	y	-	y	n	-	c	-	y	y	y	c	y	-	y	y	y	-	y	y	n	y	n	y
runtime.shared-dep-negotiation	n	n	n	n	n	n	n	y	n	n	n	n	y	n	y	n	n	y	y	n	n	n	n	n	n	n	n	n	n	-
runtime.dep-conflict-surfaces-runtime	-	-	-	-	-	-	-	y	-	-	-	-	y	-	y	-	-	?	c	-	-	-	-	-	-	-	-	-	-	-
runtime.side-by-side-versions	c	-	n	c	y	y	y	c	n	c	c	n	c	c	c	-	c	?	c	n	c	y	-	-	c	c	c	y	y	-
runtime.global-registration-collision	n	n	n	y	y	n	n	y	n	c	y	n	n	n	y	n	n	c	n	n	n	c	n	n	y	y	y	n	n	-
runtime.late-participant-registration	n	-	n	-	n	y	y	c	c	y	y	n	y	n	?	-	y	y	y	n	n	y	-	-	n	y	y	c	y	-
runtime.loaded-version-hot-swap	n	-	n	n	n	y	y	n	n	y	y	n	?	n	?	-	c	?	n	n	-	y	-	-	-	c	n	y	y	?
isolation.document-boundary	n	y	n	n	n	y	y	n	n	c	n	n	n	n	n	y	n	n	n	n	n	n	y	y	n	n	n	n	n	-
isolation.js.virtualized-global	n	-	n	n	n	-	-	n	n	n	c	n	n	n	n	-	n	n	n	n	n	y	-	-	n	n	n	-	-	-
isolation.dom.virtualized	n	-	n	n	n	-	-	n	n	c	c	n	n	n	n	-	n	?	n	n	n	c	-	-	n	n	c	c	c	-
isolation.css.outbound	n	y	n	n	n	y	y	n	c	y	c	n	n	n	n	-	n	?	n	n	n	c	y	-	n	n	y	y	y	-
isolation.css.inbound	n	c	n	n	n	y	y	n	n	c	n	n	n	n	n	-	n	?	n	n	n	n	y	-	n	n	c	c	c	-
isolation.resource.main-thread	n	-	n	n	n	c	c	n	n	c	n	n	n	n	n	-	n	n	n	n	n	n	-	-	n	n	n	n	n	-
isolation.process.crash	n	-	n	n	n	c	c	n	n	c	n	n	n	n	n	-	n	n	n	n	n	n	-	-	n	n	n	n	n	-
isolation.storage.partition	n	n	n	n	n	c	y	n	n	c	n	n	n	n	n	n	n	n	n	n	n	n	c	n	n	n	n	n	n	-
isolation.origin.host-authority	n	n	n	n	n	c	c	n	n	c	n	n	n	n	n	n	n	n	n	n	n	n	c	n	n	n	n	n	n	-
isolation.navigation.top-level-guard	n	-	n	n	n	c	y	n	n	c	n	n	n	n	n	-	n	n	n	n	n	n	-	-	n	n	n	n	n	-
isolation.security.malicious-participant	n	n	n	n	n	c	c	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	c	-	n	n	n	n	n	-
isolation.failure.lifecycle-quarantine	n	?	n	c	?	y	n	c	y	c	c	n	n	n	c	-	y	?	y	c	-	y	-	n	-	y	c	?	c	-
isolation.failure.post-mount-exception	n	c	n	n	n	y	y	n	c	c	c	n	n	n	n	-	n	?	y	n	n	n	y	-	n	n	c	y	y	-
isolation.failure.load-fallback	-	?	-	c	?	y	n	n	y	c	n	-	c	-	n	c	y	?	c	c	y	n	c	-	y	c	n	?	n	-
isolation.lifecycle.reclaim	n	y	n	-	n	y	y	n	-	c	c	n	n	n	n	y	n	n	n	n	-	c	y	y	-	n	n	y	y	-
isolation.recovery.in-page	n	-	n	n	n	y	y	n	n	y	c	n	n	n	n	-	n	?	n	n	n	c	-	-	n	c	c	y	y	-
isolation.server.process	n	y	n	y	y	-	-	-	n	-	-	-	c	-	n	y	y	n	-	-	y	-	y	n	y	-	-	y	-	-
security.cross-origin-boundary	n	-	n	n	n	y	y	n	n	c	n	n	n	n	n	-	n	n	n	n	n	n	c	-	n	n	n	n	n	-
security.sandbox-attribute-applicable	n	-	n	n	n	y	y	n	n	y	n	n	n	n	n	-	n	n	n	n	n	n	-	n	n	n	n	n	n	-
security.per-participant-csp	n	-	n	n	n	y	y	n	n	c	n	n	n	n	n	-	n	n	n	n	n	n	-	-	n	n	n	?	?	-
security.capability-narrowing	n	-	n	n	n	y	y	n	n	c	n	n	n	n	n	-	n	n	n	n	n	n	-	-	n	n	n	n	n	-
security.host-dom-reach	y	-	y	y	y	c	c	y	y	c	y	y	y	y	y	-	y	y	y	y	y	y	-	-	y	y	y	y	y	-
security.host-js-state-reach	y	n	y	y	y	c	c	y	y	c	y	y	y	y	y	n	y	y	y	y	y	y	n	n	y	y	y	y	y	-
security.untrusted-third-party-viable	n	n	n	n	n	c	c	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	-
security.channel-origin-pinning	-	-	-	-	-	y	n	-	-	n	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
security.channel-confidentiality	-	-	-	-	-	c	n	n	-	n	n	-	n	-	n	-	-	n	n	-	n	n	-	-	n	n	n	n	n	-
security.embedding-authorization	-	c	-	n	n	c	c	n	-	c	n	-	n	-	n	-	n	n	n	-	n	c	-	-	n	n	n	n	n	-
security.artifact-integrity-verification	n	n	-	n	?	n	n	c	-	n	n	-	?	-	?	-	n	n	n	-	n	n	n	-	n	n	n	n	n	n
security.delivery-intermediary-trust	y	y	y	y	y	n	n	c	n	n	n	n	n	n	n	y	y	c	y	n	y	n	y	n	y	c	n	y	n	y
security.isolation-escape-hatches	-	-	-	-	-	n	n	-	-	n	y	-	-	-	-	-	-	-	-	-	-	y	-	-	-	-	-	n	y	-
security.composition-injection-surface	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	c	n	n	n	n	n
framework.host-framework-agnostic	c	y	n	y	n	y	y	y	c	c	y	y	y	y	c	c	y	y	n	y	y	y	y	y	y	y	y	y	y	y
framework.participant-framework-agnostic	c	c	n	y	c	c	y	y	c	y	y	n	y	n	c	c	c	c	y	n	y	y	y	y	y	y	y	y	y	y
framework.mixed-frameworks-one-page	?	n	n	y	y	y	y	y	c	y	y	n	y	n	c	n	y	y	y	n	y	y	n	n	y	y	y	y	y	-
framework.per-team-framework-autonomy	c	y	n	y	y	y	y	y	n	y	y	n	y	c	y	y	y	y	y	n	y	y	y	c	y	y	y	y	y	y
framework.same-framework-major-coexistence	n	-	n	c	c	y	y	y	n	y	y	n	c	n	c	-	?	?	c	n	c	y	-	n	c	c	c	y	y	-
framework.esm-artifact-required	n	n	-	n	n	n	n	y	-	c	n	-	n	n	y	n	n	n	n	-	n	n	n	-	n	c	n	n	n	n
framework.html-document-entry	n	y	n	y	n	y	y	n	n	y	y	n	n	n	n	y	n	n	n	n	y	y	y	n	y	n	n	y	y	-
framework.client-library-required	c	n	y	n	c	y	n	n	n	c	n	n	y	n	n	n	n	n	n	n	y	n	n	n	c	n	n	n	n	n
framework.foreign-artifact-no-rebuild	n	c	n	c	n	n	y	c	c	y	c	n	n	n	n	y	n	y	c	n	c	n	y	n	c	n	n	y	y	n
framework.official-adapters-exist	n	y	n	n	n	n	-	n	c	n	y	-	n	-	n	c	y	n	y	-	n	c	-	-	n	y	y	-	c	-
framework.adapters-track-current-majors	?	y	-	-	?	-	-	-	y	-	?	-	c	-	y	c	?	n	?	-	c	?	-	-	-	?	y	-	?	-
framework.zero-framework-participant	y	y	n	y	y	y	y	y	y	y	y	y	y	y	y	y	y	c	y	c	y	c	y	y	y	c	y	y	y	y
framework.version-floor-imposed	y	c	y	n	y	y	n	n	c	n	y	n	y	n	y	n	y	n	y	n	c	n	n	n	n	n	c	n	n	?
framework.composition-tier-stack-mandated	c	y	y	y	y	n	n	n	c	n	n	n	n	n	n	n	y	n	n	n	y	n	n	n	c	n	n	y	n	y
framework.multi-framework-demonstrated	?	y	n	c	?	y	y	y	y	?	y	-	y	-	?	?	?	?	y	-	?	y	y	-	c	y	y	?	?	?
contracts.formal-descriptor	n	n	y	n	y	y	n	n	n	n	n	n	c	y	y	c	y	c	y	n	y	n	n	n	c	n	c	n	n	c
contracts.contract-versioned	y	n	y	n	y	y	n	n	-	?	n	-	c	y	?	?	y	?	y	-	y	n	n	-	c	n	n	n	n	y
contracts.connect-compat-gate	y	n	n	n	n	y	n	n	-	y	n	-	c	-	c	c	c	n	n	-	n	n	n	-	c	n	n	n	n	c
contracts.drift-surface	n	y	y	y	y	y	y	y	n	y	y	n	y	n	y	y	y	y	y	n	y	y	y	n	y	y	y	y	y	y
contracts.drift-explicit	-	n	?	n	n	y	n	n	-	?	n	-	n	-	c	n	c	?	n	-	n	n	n	-	n	n	n	n	n	n
contracts.types-shared	y	n	y	n	n	y	n	n	y	c	n	y	y	y	n	n	n	n	y	y	n	n	n	-	n	n	c	n	n	-
contracts.schema-validated-payloads	n	n	y	n	?	c	n	n	c	n	n	-	n	-	n	n	y	n	n	-	c	n	n	-	c	n	n	n	n	-
contracts.sync-calls	y	-	y	y	y	n	c	y	y	c	c	y	y	y	y	-	y	y	y	y	y	y	-	-	y	y	y	y	y	-
contracts.serialized-boundary	n	y	n	y	n	y	c	n	c	c	n	n	n	n	n	-	c	n	n	n	c	n	y	y	y	n	n	n	n	-
contracts.frame-messaging	n	n	n	n	n	y	y	n	n	y	c	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	-
contracts.builtin-messaging	n	n	n	n	y	y	n	n	c	y	y	n	n	n	n	n	n	?	y	n	c	y	n	n	c	n	n	?	y	-
contracts.builtin-shared-state	n	n	n	n	n	n	n	n	c	y	y	n	n	n	n	n	n	?	y	n	n	y	n	n	n	n	n	n	n	-
contracts.host-push-updates	n	n	-	n	?	y	y	n	n	y	y	-	n	-	n	n	n	?	y	-	n	y	n	n	n	c	y	?	y	-
contracts.http-request-contract	n	y	y	y	n	n	n	n	n	n	n	n	n	n	n	y	y	n	n	n	y	n	y	n	y	n	n	y	n	-
contracts.server-context-propagation	-	n	?	y	-	-	-	-	y	-	-	-	-	-	n	n	?	?	-	-	y	-	n	-	y	-	-	?	-	-
ssr.composed-page	c	n	y	y	n	n	n	n	y	n	n	n	c	n	c	n	c	c	c	n	y	n	n	y	y	c	c	y	n	n
ssr.fragment-granularity	-	n	c	y	-	-	-	-	y	-	-	-	c	-	c	n	c	c	-	-	y	-	n	y	y	c	c	y	-	-
ssr.streaming-assembly	-	y	?	c	-	-	-	-	c	-	-	-	n	-	?	-	n	?	-	-	?	c	-	c	y	c	c	y	-	-
ssr.participant-internal	c	y	-	y	n	c	y	n	y	c	c	y	n	y	n	y	y	c	n	c	y	c	y	y	y	c	c	y	?	c
ssr.dual-mode-render	n	n	?	n	n	n	n	n	n	n	n	c	c	c	c	-	y	c	n	c	n	n	-	n	c	c	c	y	n	n
ssr.no-js-first-paint	c	c	y	y	n	n	c	n	y	n	n	c	c	c	c	c	c	c	n	c	y	n	c	y	y	c	y	y	n	-
ssr.hydration-orchestration	n	n	n	n	-	-	n	-	y	-	n	n	n	n	y	n	n	?	-	n	c	-	n	n	n	n	n	n	-	-
ssr.crawler-indexable	c	y	y	y	n	n	?	n	y	n	n	c	c	c	c	y	c	c	n	c	y	n	y	y	y	c	c	c	n	-
ssr.static-prerender	c	y	?	c	n	n	c	n	y	c	n	c	n	c	n	y	n	?	n	c	n	n	y	c	c	n	y	y	n	c
ssr.edge-composition	-	y	?	y	-	-	-	-	c	-	-	-	n	-	?	c	n	?	-	-	n	-	c	n	n	n	c	c	-	c
ssr.static-hosting-sufficient	y	n	n	n	n	y	y	y	c	y	y	y	y	y	y	c	n	y	y	y	n	y	c	n	n	y	y	n	y	y
ssr.server-loadable-artifact	y	-	-	-	n	n	-	c	-	-	n	-	y	y	y	-	y	y	c	-	-	n	-	-	-	c	n	-	n	c
ssr.rsc-federation	-	-	-	-	n	-	-	n	-	-	-	-	n	c	n	-	-	?	?	-	-	n	-	-	-	n	-	-	-	n
ssr.dev-prod-parity	-	c	?	n	-	-	-	-	y	-	-	-	?	-	n	-	y	?	-	-	y	-	-	y	c	?	-	?	-	-
ssr.html-fragment-contract	-	-	n	y	n	n	-	n	n	n	n	-	n	-	n	-	c	n	n	-	y	n	-	n	y	n	y	y	n	-
ux.cross-boundary-soft-nav	y	n	-	n	n	c	c	y	-	c	y	-	y	-	y	n	-	y	y	-	n	y	n	-	c	y	y	y	y	-
ux.within-unit-soft-nav	y	y	y	c	c	y	y	y	c	y	y	y	y	y	y	y	-	y	y	y	c	y	y	n	c	y	y	y	y	-
ux.cross-boundary-prefetch	-	c	-	n	n	n	n	-	-	-	-	-	-	-	-	c	-	-	-	-	n	-	n	-	n	-	-	-	-	-
ux.cross-doc-view-transitions	-	c	-	c	n	-	n	-	c	-	-	-	-	-	-	n	-	-	-	-	n	-	n	n	n	-	-	-	-	-
ux.persistent-shared-chrome	y	n	y	n	n	y	y	y	c	y	y	y	y	y	y	n	y	y	y	y	n	y	n	n	c	y	y	y	y	-
ux.unit-keepalive	n	n	n	n	n	c	y	n	n	c	c	y	n	y	n	n	n	?	n	y	n	n	n	n	n	n	n	n	c	-
ux.keepalive-scroll-restoration	-	-	-	-	-	c	?	-	-	?	n	c	-	c	-	-	-	-	-	c	-	-	-	-	-	-	-	-	?	-
ux.deep-link-inner-route	y	y	-	-	n	n	n	c	-	y	c	y	y	y	y	y	n	?	y	y	c	y	y	y	c	y	c	y	c	-
ux.frame-history-pollution	n	-	n	n	n	y	y	n	n	c	n	n	n	n	n	-	n	n	n	n	n	n	-	-	n	n	n	?	?	-
ux.overlay-viewport-escape	y	y	y	y	y	c	n	y	y	c	y	y	y	y	y	-	y	y	y	y	y	y	-	-	y	y	y	y	c	-
ux.host-overlay-protocol	-	-	-	-	-	y	n	-	-	y	-	-	-	-	-	-	-	-	y	-	-	-	-	-	-	-	-	-	-	-
ux.body-portal-compat	y	y	y	y	y	-	-	y	y	c	y	y	y	y	y	y	y	?	y	y	y	c	y	y	y	y	c	c	y	-
ux.natural-layout-flow	y	-	y	y	y	n	n	y	y	c	y	y	y	y	y	-	y	y	y	y	y	y	-	-	y	y	y	y	y	-
ux.cross-boundary-focus-mgmt	y	-	y	y	y	n	n	y	y	?	y	y	y	y	y	-	y	y	y	y	y	y	-	-	y	y	y	y	c	-
ux.screenreader-continuity	y	y	y	y	y	?	c	y	y	c	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	c	-
ux.composed-first-paint	y	y	y	y	n	n	n	n	y	n	n	y	n	y	c	y	c	c	n	c	y	n	c	y	y	n	c	y	n	-
ux.builtin-loading-ui	-	n	-	n	?	c	n	n	n	y	n	-	n	-	n	n	n	?	y	c	-	n	n	-	-	c	n	n	?	-
ux.builtin-error-fallback-ui	n	?	n	c	?	n	n	n	c	c	n	-	n	-	n	n	c	?	y	c	y	n	n	-	y	c	n	?	n	-
ux.mount-layout-shift-risk	n	n	n	n	y	n	c	y	c	n	y	-	y	-	c	-	c	c	y	c	n	y	-	n	n	y	y	c	y	-
ux.token-theming-mechanism	c	n	c	n	c	n	n	n	-	c	n	-	n	-	n	n	n	n	n	-	n	n	n	-	n	n	y	y	c	-
performance.client-composition-runtime	n	n	n	n	n	y	n	c	n	y	y	n	y	n	y	n	c	y	y	n	n	y	n	n	c	y	n	y	y	-
performance.pre-render-orchestration-fetch	n	n	n	n	n	n	n	n	n	c	y	n	y	n	y	n	c	y	y	n	n	y	n	n	n	c	n	c	y	-
performance.sequential-waterfall-default	n	n	n	n	n	y	n	y	n	y	y	n	y	n	y	n	c	y	y	c	n	y	n	n	n	y	n	c	y	-
performance.first-party-preload-levers	n	y	-	n	n	n	n	n	c	y	y	-	y	-	c	c	n	?	n	c	n	y	n	-	n	y	n	n	y	-
performance.duplicate-framework-same-page	n	-	n	y	y	y	y	n	n	y	y	-	c	-	n	-	y	y	n	-	y	y	-	-	y	y	y	y	y	-
performance.shared-dependency-dedup	y	n	-	n	n	n	n	y	y	n	n	y	y	y	y	n	n	y	y	y	n	n	n	n	n	c	c	n	n	n
performance.dedup-failure-on-version-skew	c	-	-	-	-	-	-	n	-	-	-	n	y	y	c	-	-	?	c	n	-	-	-	-	-	n	-	-	-	-
performance.per-unit-document-boot	n	-	n	n	n	y	y	n	n	c	c	n	n	n	n	y	n	n	n	n	n	n	y	y	n	n	n	y	y	-
performance.process-memory-overhead	-	-	-	-	-	c	c	-	-	c	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
performance.sandbox-execution-tax	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n	-
performance.per-message-serialization-cost	n	-	n	n	n	y	y	n	n	c	n	n	n	n	n	-	n	n	n	n	n	n	-	-	n	n	n	n	n	-
performance.hydration-deferrable-per-unit	c	n	n	n	n	c	c	n	y	c	n	c	n	c	c	-	n	?	c	c	c	n	n	-	c	n	c	n	c	-
performance.request-time-server-fanout	-	y	y	y	n	n	n	n	n	n	n	-	n	-	c	n	c	c	n	-	y	n	n	n	y	n	n	y	n	n
performance.per-unit-http-cacheable	-	y	n	y	y	y	y	y	c	y	y	n	y	n	y	y	c	y	y	c	y	y	y	y	y	y	y	y	y	y
performance.default-content-caching	-	c	?	c	?	-	-	-	n	-	y	-	-	-	c	n	c	?	c	-	n	n	c	n	c	-	-	?	n	y
deployment.host-rebuild-required	y	n	c	n	n	c	n	n	y	n	n	y	n	y	n	n	n	n	n	y	n	n	n	y	n	n	n	n	n	n
deployment.new-participant-host-change	y	c	y	y	n	y	y	c	y	c	y	y	c	y	c	c	y	c	n	y	y	y	n	y	c	y	y	y	y	n
deployment.golive-central-pointer	y	n	c	n	y	n	n	y	-	n	n	-	n	-	n	n	c	n	n	-	n	n	n	-	n	y	n	n	n	y
deployment.consumer-version-pin	y	n	-	n	y	n	n	y	-	c	n	-	c	c	c	c	y	c	c	-	n	n	n	-	c	y	c	n	n	y
deployment.per-user-version-targeting	n	c	?	n	?	n	n	c	-	n	n	n	n	n	n	c	n	c	y	n	n	n	c	n	n	c	n	n	n	y
deployment.immutable-version-retention	y	c	n	n	?	n	n	c	-	n	n	-	n	c	n	c	y	n	?	-	n	n	n	-	c	c	c	n	n	y
deployment.cache-busting-operator-burden	n	n	n	y	?	y	y	n	n	y	y	n	y	n	y	n	n	c	n	n	c	y	n	n	c	n	y	y	y	n
deployment.participants-static-artifacts	y	n	-	c	c	y	y	y	-	y	y	-	y	-	y	n	n	y	y	-	n	y	c	-	n	y	y	c	y	y
deployment.strategy-service-in-path	n	y	y	y	y	n	n	n	n	n	n	n	n	n	n	y	y	n	c	n	y	n	y	n	y	n	n	y	n	c
deployment.runtime-discovery-first-party	n	y	c	n	y	n	n	y	-	n	n	-	y	-	y	y	y	y	y	-	y	n	n	-	c	n	n	n	n	y
deployment.single-domain-required	-	y	-	y	y	n	n	n	y	n	n	-	n	-	n	y	n	n	n	-	y	n	c	-	y	n	n	y	n	n
deployment.cross-origin-cors-required	-	-	-	-	-	n	n	y	-	c	y	-	c	-	y	-	c	c	c	-	-	y	-	-	-	c	c	-	y	c
deployment.vendor-hosting-required	n	y	y	c	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	c
migration.participant.min-level	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c
migration.host.min-level	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c
migration.source-modification-required	c	c	y	n	y	y	n	n	c	c	c	y	c	y	y	n	n	c	y	y	n	y	n	y	c	y	n	n	n	n
migration.participant.bootstrap-change-required	n	n	y	n	y	y	n	n	c	c	c	y	c	y	y	n	n	c	y	y	n	y	n	y	n	y	c	n	c	n
migration.participant.internals-refactor-required	c	c	y	n	c	n	n	c	c	n	c	y	n	y	c	c	c	n	c	y	c	c	c	y	c	c	c	n	n	n
migration.participant.deployment-change-required	y	y	y	n	y	n	n	n	n	n	n	y	n	y	n	c	y	n	y	y	c	n	n	y	c	n	n	n	n	y
migration.participant.extraction-required	c	y	n	c	y	y	n	y	n	n	y	n	y	n	y	y	y	y	y	n	n	y	y	n	c	y	n	n	n	y
migration.participant.rewrite-required	c	n	y	n	y	n	n	n	c	n	n	c	n	c	n	n	n	n	n	c	n	n	n	c	n	n	n	n	n	n
migration.participant.thirdparty-unmodified-viable	n	n	n	c	n	n	c	n	n	y	c	n	n	n	n	y	n	c	n	n	c	n	y	n	c	n	n	y	y	n
migration.participant.legacy-no-build-viable	n	n	n	y	n	c	y	n	c	y	c	n	n	n	n	y	n	n	n	n	y	n	y	y	y	n	y	y	y	n
